code,multiplier,statVar,svobsUnit
HS_B_0030,1,wto/HS_B_0030,Percent
HS_B_0050,1,wto/HS_B_0050,
HS_B_0060,1,wto/HS_B_0060,
HS_B_0070,1,wto/HS_B_0070,
HS_B_0080,1,wto/HS_B_0080,Percent
HS_B_0090,1,wto/HS_B_0090,
TP_E_0100,1,wto/TP_E_0100,
TP_E_0110,1,wto/TP_E_0110,Percent
TP_E_0120,1,wto/TP_E_0120,Percent
TP_E_0130,1,wto/TP_E_0130,Percent
TP_E_0140,1,wto/TP_E_0140,Percent
TP_E_0150,1000000,wto/TP_E_0150,USDollar
TP_E_0160,1,wto/TP_E_0160,Percent
TP_E_0170,1,wto/TP_E_0170,Percent
TP_E_0180,1,wto/TP_E_0180,
TP_E_0190,1,wto/TP_E_0190,
TP_E_0200,1,wto/TP_E_0200,
TP_E_0210,1,wto/TP_E_0210,Percent
TP_E_0220,1,wto/TP_E_0220,Percent
TP_E_0230,1,wto/TP_E_0230,Percent
TP_E_0240,1,wto/TP_E_0240,Percent
TP_E_0250,1000000,wto/TP_E_0250,USDollar
TP_E_0260,1,wto/TP_E_0260,Percent
TP_E_0270,1,wto/TP_E_0270,Percent
TP_E_0280,1,wto/TP_E_0280,
TP_E_0290,1,wto/TP_E_0290,
TP_N_1010,1,wto/TP_N_1010,
TP_N_1020,1,wto/TP_N_1020,
TP_N_1030,1,wto/TP_N_1030,
TP_N_1040,1,wto/TP_N_1040,
TP_N_1050,1,wto/TP_N_1050,
TP_N_1060,1,wto/TP_N_1060,
TP_N_1070,1,wto/TP_N_1070,
TP_N_1080,1,wto/TP_N_1080,
TP_N_1090,1,wto/TP_N_1090,
TP_N_1100,1,wto/TP_N_1100,
TP_N_1110,1,wto/TP_N_1110,
TP_N_1120,1,wto/TP_N_1120,
TP_N_1130,1,wto/TP_N_1130,
TP_N_1140,1,wto/TP_N_1140,
TP_N_1150,1,wto/TP_N_1150,
TP_N_1160,1,wto/TP_N_1160,
TP_N_1170,1,wto/TP_N_1170,
TP_N_1180,1,wto/TP_N_1180,
TP_N_1190,1,wto/TP_N_1190,
TP_N_1200,1,wto/TP_N_1200,
TP_N_2010,1,wto/TP_N_2010,
TP_N_2020,1,wto/TP_N_2020,
TP_N_2030,1,wto/TP_N_2030,
TP_N_2040,1,wto/TP_N_2040,
TP_N_2050,1,wto/TP_N_2050,
TP_N_2060,1,wto/TP_N_2060,
TP_N_2070,1,wto/TP_N_2070,
